id_casteller,type_casteller,active,sex,height
2182,Crosses,yes,female,-6.0
5065,Crosses,no,female,-6.0
8946,Crosses,yes,female,-6.0
10276,Crosses,newbie,female,-6.0
11597,Crosses,newbie,female,-6.0
13988,Crosses,no,female,-6.0
1999,Crosses,yes,female,-5.0
2080,Crosses,no,female,-5.0
2147,Crosses,yes,female,-5.0
5242,Crosses,no,female,-5.0
5263,Crosses,yes,female,-5.0
10466,Crosses,newbie,female,-5.0
11599,Crosses,newbie,female,-5.0
11615,Crosses,no,female,-5.0
11623,Crosses,newbie,female,-5.0
11626,Crosses,newbie,male,-5.0
12849,Crosses,newbie,female,-5.0
13078,Crosses,newbie,female,-5.0
14228,Crosses,newbie,female,-5.0
15106,Crosses,newbie,female,-5.0
15267,Crosses,newbie,female,-5.0
2031,Crosses,yes,female,-4.0
2087,Crosses,yes,female,-4.0
2200,Crosses,no,female,-4.0
5264,Crosses,no,female,-4.0
5410,Crosses,no,female,-4.0
10282,Crosses,newbie,female,-4.0
11582,Crosses,newbie,female,-4.0
11595,Crosses,newbie,female,-4.0
12443,Crosses,newbie,female,-4.0
12455,Crosses,newbie,female,-4.0
14858,Crosses,newbie,female,-4.0
2076,Crosses,no,female,-3.0
3933,Crosses,yes,female,-3.0
3937,Crosses,no,female,-3.0
5068,Crosses,yes,female,-3.0
5086,Crosses,no,male,-3.0
5091,Crosses,yes,female,-3.0
5248,Crosses,yes,female,-3.0
5249,Crosses,yes,female,-3.0
5279,Altres,yes,female,-3.0
9452,Crosses,yes,female,-3.0
10463,Crosses,no,female,-3.0
11585,Crosses,newbie,female,-3.0
14227,Contraforts,newbie,female,-3.0
14382,Crosses,newbie,female,-3.0
1992,Baixos,yes,male,-2.0
2181,Contraforts,yes,female,-2.0
5076,Baixos,yes,male,-2.0
5084,Crosses,yes,female,-2.0
5257,Contraforts,no,female,-2.0
5274,Contraforts,no,female,-2.0
5382,Crosses,no,female,-2.0
9442,Crosses,newbie,female,-2.0
11581,Crosses,newbie,female,-2.0
11612,Baixos,newbie,male,-2.0
13353,Contraforts,no,female,-2.0
14368,Contraforts,newbie,female,-2.0
14850,Contraforts,newbie,female,-2.0
15462,Baixos,newbie,male,-2.0
2057,Contraforts,yes,female,-1.0
5092,Contraforts,yes,female,-1.0
5271,Contraforts,no,female,-1.0
5305,Contraforts,yes,male,-1.0
9676,Crosses,no,female,-1.0
10465,Contraforts,newbie,female,-1.0
11596,Contraforts,newbie,female,-1.0
11614,Crosses,no,female,-1.0
12450,Contraforts,no,female,-1.0
13085,Contraforts,no,female,-1.0
14571,Contraforts,newbie,female,-1.0
14849,Contraforts,newbie,female,-1.0
1990,Baixos,yes,male,0.0
2010,Contraforts,yes,female,0.0
2123,Contraforts,no,female,0.0
3900,Altres,yes,male,0.0
5256,Altres,no,female,0.0
5265,Contraforts,yes,female,0.0
5344,Baixos,no,male,0.0
8658,Altres,no,male,0.0
11934,Contraforts,newbie,female,0.0
12356,Contraforts,newbie,female,0.0
12853,Contraforts,newbie,female,0.0
1984,Baixos,yes,male,1.0
1985,Baixos,no,male,1.0
1986,Baixos,no,male,1.0
1988,Baixos,no,male,1.0
1993,Altres,yes,male,1.0
2118,Baixos,yes,male,1.0
2169,Altres,no,female,1.0
5309,Baixos,yes,male,1.0
11926,Baixos,no,male,1.0
11931,Baixos,newbie,male,1.0
12437,Contraforts,no,female,1.0
12845,Contraforts,newbie,female,1.0
13624,Baixos,newbie,male,1.0
13987,Contraforts,newbie,female,1.0
14741,Baixos,newbie,male,1.0
14742,Contraforts,yes,female,1.0
15275,Baixos,newbie,male,1.0
1983,Baixos,no,male,2.0
1987,Baixos,yes,male,2.0
1991,Baixos,yes,male,2.0
2027,Contraforts,yes,female,2.0
2106,Contraforts,yes,female,2.0
2164,Contraforts,yes,female,2.0
5095,Altres,no,male,2.0
5317,Contraforts,no,female,2.0
5363,Baixos,no,male,2.0
9415,Baixos,yes,male,2.0
11914,Baixos,newbie,male,2.0
14568,Baixos,newbie,male,2.0
1980,Baixos,yes,male,3.0
2098,Contraforts,no,female,3.0
3902,Baixos,yes,male,3.0
5070,Baixos,yes,male,3.0
5075,Baixos,no,male,3.0
5304,Contraforts,no,female,3.0
10126,Baixos,no,male,3.0
12758,Baixos,newbie,male,3.0
13039,Contraforts,newbie,female,3.0
14229,Baixos,newbie,male,3.0
15390,Baixos,newbie,male,3.0
15392,Altres,newbie,male,3.0
1979,Altres,yes,male,4.0
1989,Baixos,yes,male,4.0
2022,Baixos,yes,male,4.0
2051,Altres,yes,female,4.0
2172,Laterals,no,male,4.0
2191,Baixos,yes,male,4.0
