date,hour,id_assaig, id_casteller, attendance
2017-09-14,14:00,42992.58333,2170,1
2017-09-14,14:00,42992.58333,2010,1
2017-09-14,14:00,42992.58333,2209,1
2017-09-14,14:00,42992.58333,2151,1
2017-09-14,14:00,42992.58333,2021,1
2017-09-14,14:00,42992.58333,2205,1
2017-09-14,14:00,42992.58333,1989,1
2017-09-14,14:00,42992.58333,2028,1
2017-09-14,14:00,42992.58333,2138,2
2017-09-14,14:00,42992.58333,2181,1
2017-09-14,14:00,42992.58333,2094,1
2017-09-14,14:00,42992.58333,2173,1
2017-09-14,14:00,42992.58333,2031,1
2017-09-14,14:00,42992.58333,2104,1
2017-09-14,14:00,42992.58333,2118,1
2017-09-14,14:00,42992.58333,2069,1
2017-09-14,14:00,42992.58333,2123,1
2017-09-14,14:00,42992.58333,2150,1
2017-09-14,14:00,42992.58333,2018,1
2017-09-14,14:00,42992.58333,2160,2
2017-09-14,14:00,42992.58333,3904,1
2017-09-14,14:00,42992.58333,3900,1
2017-09-14,14:00,42992.58333,3912,1
2017-09-14,14:00,42992.58333,3901,1
2017-09-14,14:00,42992.58333,3909,1
2017-09-14,14:00,42992.58333,3902,1
2017-09-14,14:00,42992.58333,3903,1
2017-09-14,14:00,42992.58333,3905,1
2017-09-14,14:00,42992.58333,3906,1
2017-09-14,14:00,42992.58333,3907,1
2017-09-14,14:00,42992.58333,3908,1
2017-09-14,14:00,42992.58333,3910,1
2017-09-14,14:00,42992.58333,3911,1
2017-09-14,14:00,42992.58333,3913,1
2017-09-14,14:00,42992.58333,3914,1
2017-09-14,14:00,42992.58333,3915,1
2017-09-14,14:00,42992.58333,2070,0
2017-09-14,14:00,42992.58333,3916,1
2017-09-14,14:00,42992.58333,3917,1
2017-09-14,14:00,42992.58333,3918,1
2017-09-14,14:00,42992.58333,1972,1
2017-09-14,14:00,42992.58333,3922,1
2017-09-14,14:00,42992.58333,3924,1
2017-09-14,14:00,42992.58333,3925,1
2017-09-14,14:00,42992.58333,3926,1
2017-09-14,14:00,42992.58333,3927,1
2017-09-14,14:00,42992.58333,3933,1
2017-09-14,14:00,42992.58333,3934,1
2017-09-14,14:00,42992.58333,3920,1
2017-09-14,14:00,42992.58333,3932,1
2017-09-14,14:00,42992.58333,3937,1
2017-09-14,14:00,42992.58333,3935,1
2017-09-14,14:00,42992.58333,3936,1
2017-09-14,14:00,42992.58333,3928,1
2017-09-14,14:00,42992.58333,3919,1
2017-09-14,14:00,42992.58333,3930,1
2017-09-14,14:00,42992.58333,3929,1
2017-09-14,14:00,42992.58333,3921,1
2017-09-14,14:00,42992.58333,3938,1
2017-09-14,14:00,42992.58333,3923,1
2017-09-14,14:00,42992.58333,2328,1
2017-09-19,14:00,42997.58333,2009,0
2017-09-19,14:00,42997.58333,2043,1
2017-09-19,14:00,42997.58333,2210,1
2017-09-19,14:00,42997.58333,1978,1
2017-09-19,14:00,42997.58333,2170,1
